epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1082.26,1.21793,2.19334,1.31509,1.36146,0.71326,0.51607,0.53974,0.26965,0.53141,0.40243,0.41554,0.1985,1.43574,2.65639,1.84906,1.51919,0.00092825,0.00092825,0.00092825
54,1102.66,1.19077,2.11412,1.39889,1.2802,0.59139,0.54125,0.56784,0.30934,0.40251,0.49212,0.41743,0.203,1.40445,2.54973,1.80392,1.4758,0.000922063,0.000922063,0.000922063
55,1122.21,1.21325,2.20662,1.37741,1.33121,0.51391,0.57964,0.59439,0.32083,0.5,0.56127,0.46171,0.22701,1.37768,2.40748,1.53505,1.42462,0.000915875,0.000915875,0.000915875
56,1143.1,1.18443,2.2282,1.32604,1.28348,0.48317,0.53655,0.59045,0.37218,0.46971,0.5037,0.48094,0.23497,1.34509,2.45679,1.62726,1.42397,0.000909688,0.000909688,0.000909688
57,1163.89,1.16896,2.19383,1.30361,1.32144,0.45672,0.48208,0.54972,0.33253,0.4358,0.46291,0.46943,0.20174,1.35598,2.54364,1.85183,1.39419,0.0009035,0.0009035,0.0009035
58,1184.64,1.20361,2.13899,1.31958,1.32144,0.43561,0.5586,0.55905,0.35316,0.54116,0.43006,0.47203,0.21825,1.3685,2.68592,1.92002,1.37893,0.000897313,0.000897313,0.000897313
59,1207.25,1.16268,2.09716,1.258,1.30549,0.4802,0.42103,0.54516,0.31286,0.29278,0.48641,0.41978,0.22317,1.41038,2.6712,2.21158,1.44463,0.000891125,0.000891125,0.000891125
60,1226.84,1.14837,2.0626,1.23156,1.28903,0.62862,0.43447,0.57643,0.3431,0.361,0.50566,0.42518,0.23045,1.34811,2.46036,1.90519,1.3986,0.000884938,0.000884938,0.000884938
61,1246.08,1.12879,2.03735,1.25779,1.28981,0.58168,0.49949,0.50556,0.31507,0.42311,0.49691,0.42258,0.21278,1.37922,2.43719,1.52072,1.41697,0.00087875,0.00087875,0.00087875
62,1265.66,1.14292,2.05195,1.21619,1.28375,0.69587,0.50777,0.54671,0.34432,0.65159,0.47802,0.48972,0.2347,1.33551,2.4095,1.61876,1.36155,0.000872563,0.000872563,0.000872563
63,1284.98,1.14774,2.04024,1.29357,1.32083,0.67798,0.57311,0.57871,0.36053,0.5164,0.58777,0.51496,0.23184,1.29657,2.45934,1.39789,1.36035,0.000866375,0.000866375,0.000866375
64,1304.26,1.13371,2.07494,1.20425,1.27643,0.65841,0.49848,0.55764,0.34394,0.50898,0.54548,0.43692,0.20912,1.30953,2.5019,1.47332,1.36487,0.000860188,0.000860188,0.000860188
65,1324.45,1.17178,2.08766,1.26102,1.30276,0.5501,0.4591,0.47136,0.29083,0.52114,0.43623,0.41022,0.18303,1.33532,2.47324,2.00057,1.40952,0.000854,0.000854,0.000854
66,1343.95,1.08329,1.95456,1.14016,1.26952,0.45263,0.57433,0.50745,0.29973,0.4024,0.55256,0.44234,0.20828,1.42132,2.46217,2.06825,1.49611,0.000847813,0.000847813,0.000847813
67,1363.1,1.09918,2.01641,1.1869,1.26837,0.67265,0.45116,0.55532,0.31807,0.43654,0.54665,0.42672,0.21248,1.37828,2.41778,1.79077,1.44515,0.000841625,0.000841625,0.000841625
68,1383.09,1.14779,2.01049,1.27223,1.28419,0.46496,0.56169,0.59388,0.35505,0.42393,0.51815,0.53476,0.24759,1.33551,2.59003,1.80923,1.41474,0.000835438,0.000835438,0.000835438
69,1402.44,1.10971,2.05799,1.27184,1.27262,0.69367,0.40505,0.59427,0.35104,0.4189,0.50743,0.50012,0.26074,1.31403,2.47534,1.69671,1.38176,0.00082925,0.00082925,0.00082925
70,1421.81,1.10416,1.94536,1.20247,1.26962,0.43609,0.57571,0.60092,0.36143,0.41342,0.57449,0.52486,0.26644,1.31387,2.33168,1.55229,1.34939,0.000823063,0.000823063,0.000823063
71,1441.23,1.05858,1.90612,1.11175,1.23028,0.64338,0.56685,0.64076,0.39673,0.54573,0.47342,0.55814,0.29796,1.27825,2.3427,1.53592,1.33025,0.000816875,0.000816875,0.000816875
72,1460.6,1.06713,1.89784,1.16654,1.26469,0.45327,0.56153,0.54813,0.35704,0.41024,0.46005,0.43673,0.23219,1.2829,2.37154,1.62347,1.31526,0.000810688,0.000810688,0.000810688
73,1480.53,1.13015,1.95119,1.1755,1.26254,0.51497,0.57425,0.56074,0.3609,0.4867,0.54141,0.52202,0.25009,1.30931,2.37871,1.53713,1.33802,0.0008045,0.0008045,0.0008045
74,1500.71,1.05863,1.86649,1.20836,1.19009,0.67461,0.56729,0.57889,0.34355,0.52879,0.5219,0.49727,0.25402,1.28835,2.32983,1.59234,1.34912,0.000798313,0.000798313,0.000798313
75,1519.82,1.08376,1.85928,1.09695,1.25852,0.52544,0.56932,0.53035,0.34718,0.46225,0.48599,0.43507,0.23743,1.30458,2.34107,1.58306,1.38623,0.000792125,0.000792125,0.000792125
76,1539.21,1.07289,1.89619,1.14612,1.23206,0.64793,0.54711,0.57763,0.35433,0.52072,0.45647,0.48674,0.25909,1.29745,2.30532,1.50872,1.38721,0.000785938,0.000785938,0.000785938
77,1559.02,1.04775,1.87332,1.03544,1.21308,0.51228,0.61223,0.61311,0.38667,0.46879,0.51652,0.52399,0.27332,1.27617,2.32428,1.67152,1.36324,0.00077975,0.00077975,0.00077975
78,1578.5,1.06036,1.86852,1.17158,1.22723,0.5123,0.60882,0.59323,0.35143,0.46983,0.60778,0.46405,0.22092,1.31672,2.38305,1.61234,1.37347,0.000773563,0.000773563,0.000773563
79,1598.37,1.06557,1.91889,1.13643,1.2367,0.47695,0.58474,0.58315,0.3686,0.36863,0.73917,0.49764,0.26106,1.29369,2.36596,1.59676,1.36937,0.000767375,0.000767375,0.000767375
80,1617.91,1.08198,1.93793,1.19676,1.25033,0.48247,0.75946,0.54597,0.34907,0.48776,0.75173,0.53141,0.25259,1.26567,2.34377,1.53254,1.3503,0.000761188,0.000761188,0.000761188
81,1637.41,1.09371,1.95246,1.16809,1.27556,0.41327,0.56357,0.50497,0.33198,0.40214,0.54337,0.44786,0.23288,1.27463,2.41482,1.80896,1.35505,0.000755,0.000755,0.000755
82,1656.23,1.00384,1.79021,1.08863,1.19396,0.41472,0.71412,0.46964,0.28969,0.40667,0.70115,0.44519,0.20163,1.30836,2.72721,1.84074,1.37614,0.000748813,0.000748813,0.000748813
83,1675.21,1.01585,1.88134,1.11628,1.22894,0.45428,0.46062,0.42259,0.26914,0.43656,0.43024,0.38442,0.20526,1.33107,2.55104,1.79776,1.35087,0.000742625,0.000742625,0.000742625
84,1695.39,1.02501,1.90768,1.11304,1.19747,0.49182,0.50083,0.56457,0.31035,0.39889,0.46785,0.40756,0.21683,1.33928,2.48099,1.93479,1.37033,0.000736438,0.000736438,0.000736438
85,1715.1,1.03766,1.87455,1.05327,1.21339,0.50216,0.52209,0.52261,0.27591,0.3882,0.47596,0.39923,0.20579,1.34108,2.42832,2.00412,1.38715,0.00073025,0.00073025,0.00073025
